BoxID|FileID|UniqueID|ImageName|Operator|Scan Date|Image Count
BTAP-AIR044|AGM OF BTAP-1991|905001|905001_AGM OF BTAP-1991.tif|ACCESS\Sonam.Garg|10/4/2021|279
BTAP-AIR044|AGM OF BTAP-1991|905002|905002_AGM OF BTAP-1991.tif|ACCESS\Sonam.Garg|10/4/2021|134
